"input"	"filtered"	"denoisedF"	"denoisedR"	"merged"	"nonchim"
"515FY-926Rjed-CANET"	29409	19414	19171	19245	17912	12715
"515FY-926Rjed-CM1"	30842	18200	18110	18142	17390	13227
"515FY-926Rjed-CM2"	53018	32848	32667	32727	31640	25229
"515FY-926Rjed-CM3"	51221	33115	32967	33029	31674	26438
"515FY-926Rjed-CS1"	55352	36839	36646	36721	35558	28346
"515FY-926Rjed-CS2"	42024	25813	25676	25729	24600	18920
"515FY-926Rjed-CS3"	35430	22115	22032	22058	21363	16990
"515FY-926Rjed-SCM1"	55919	34787	34653	34678	33334	26844
"515FY-926Rjed-SCM2"	54511	34812	34666	34717	33530	27362
"515FY-926Rjed-SCS2"	35312	21563	21466	21492	20429	15516
"515FY-926Rjed-SCS3"	41053	25409	25285	25335	24700	21047
"515FY-926Rjed-Sea1"	79859	49854	49683	49730	48087	45577
"515FY-926Rjed-Sea2"	28985	19599	19453	19469	18113	16386
"515FY-926Rjed-Sea3"	26886	16485	16404	16387	15318	13874
"515FY-926Rjed-SM1"	58457	36341	36219	36273	34760	31589
"515FY-926Rjed-SM2"	63983	37212	37098	37121	35893	31080
"515FY-926Rjed-SM3"	48602	27009	26940	26964	26118	22756
"515FY-926Rjed-SOLA"	30757	22325	22096	22034	19636	18350
"515FY-926Rjed-SS1"	84959	48553	48462	48515	48071	46058
"515FY-926Rjed-SS2"	60463	36509	36351	36438	34972	29152
"515FY-926Rjed-SS3"	80173	46815	46675	46750	45338	39840
