	CANET	CM1	CM2	CM3	CS1	CS2	CS3	SCM1	SCM2	SCS2	SCS3	Sea1	Sea2	Sea3	SM1	SM2	SM3	SOLA	SS1	SS2	SS3
SV_1_Alteromonadales	0	0.000226808800181447	0.000118910777280114	0.000453892124971632	0.000317505115360192	0	0.000117716303708064	0.00398599314558188	0.000913675900884438	0.00135344160866203	0.000997766902646458	0.000877635649560085	6.10277065787868e-05	0.000144154533660084	0.180980721137105	0.0482303732303732	0.0838020741782387	0	0.781883711841591	0.117590559824369	0.115788152610442
SV_2_Rhodobacterales	0.0335823830121903	0.171921070537537	0.170557691545444	0.127014146304562	0.174028081563536	0.186892177589852	0.156562683931725	0.208724482193414	0.242160660770412	0.220675431812323	0.249631776500214	0.00355442438071834	0.00115952642499695	0.0022343952717313	0.0101617651714204	0.000965250965250965	0.000922833538407453	5.44959128065395e-05	0.000564505623344479	0.00596871569703622	0.016566265060241
SV_3_Alteromonadales	0	0	3.96369257600381e-05	0	0.000105835038453397	0	0.000117716303708064	0	0	0.000580046403712297	9.50254192996627e-05	0.608245386927617	0.0704870010984987	0.163975782038345	6.33131786381335e-05	6.43500643500643e-05	0	0.000108991825613079	4.34235094880368e-05	0.000137211855104281	0.000150602409638554
SV_4_Flavobacteriales	0.0375933936295714	0.127088531035004	0.0963573665226525	0.0477343218095166	0.101143018415297	0.104756871035941	0.122660388463802	0.12837133065117	0.101893136466633	0.140693477700438	0.124910913669407	0	0.000122055413157574	0	0	0	4.39444542098787e-05	0	0	0	0
SV_5_Alteromonadales	0	0.0117184546760414	0.0128027270204923	0.00018912171873818	0.00183447399985889	0.00634249471458774	0.00765155974102413	0.00368797496647295	0.00734595424311088	0.00431812322763599	0.0121632536703568	0	0	0	0.0251986450979771	0.308140283140283	0.299745122165583	0	0	0.0744717343578485	0.036495983935743
SV_6_Rhodobacterales	0.151631930790405	0.0727300219248507	0.0828808117642396	0.114796883274075	0.0985324208001129	0.100951374207188	0.0781636256621542	0.0707793175383698	0.0814267962868211	0.0596803299819541	0.0671354587352117	4.38817824780043e-05	0.000366166239472721	7.20772668300418e-05	0.000379879071828801	0.000128700128700129	4.39444542098787e-05	0	2.17117547440184e-05	3.43029637760703e-05	0.00017570281124498
SV_7_Rhodobacterales	0.00141565080613449	0.00680426400544341	0.00598517578976575	0.00177774415613889	0.00825513299936499	0.00813953488372093	0.00818128310771042	0.00745045447772314	0.00771142460346466	0.00696055684454756	0.00921746567206728	0.0135594707857033	0.0173928963749542	0.022488107250973	0.0364683908955649	0.0055984555984556	0.0347161188258042	5.44959128065395e-05	0.0189543618915281	0.0971116904500549	0.252986947791165
SV_8_Rhodobacterales	0.0027526543452615	0.0911015347395479	0.120416980458996	0.0707693471518269	0.102413038876737	0.0617864693446089	0.0779870512065921	0.075026076590672	0.0503983626927856	0.0524619747357566	0.0735021618282891	2.19408912390021e-05	0	0	9.49697679572003e-05	3.21750321750322e-05	0	0	0	0	0
SV_9_Flavobacteriales	0.0513566653558789	0.0547365237771225	0.0532323912957311	0.0521975943717376	0.0573273124955902	0.0478329809725159	0.0410829899941142	0.0600134108180599	0.0478400701703092	0.0560067027584429	0.0260369648881076	0.000241349803629023	0.0014036372513121	0.000360386334150209	0	3.21750321750322e-05	0	0	4.34235094880368e-05	0	2.51004016064257e-05
SV_10_Rhodobacterales	0	0	0.000237821554560228	3.7824343747636e-05	0	0.000105708245243129	5.88581518540318e-05	0.00163909998509909	0.000219282216212265	0.00025779840164991	0	2.19408912390021e-05	0	0	0.00633131786381335	0.162483912483912	0.207373879416418	0	0	0.017597420417124	0.0170180722891566
