sampleID,source,DOM,rep,treat,time,Mean.Degree,Median.Degree,Density,Diameter,Modularity,Total.Length,Pos.Lenght,Neg.Lenght,prop.neg,prop.pos,BP,resp,cellcounts
CM.1_T5,C,M,r1,C_M,T5,10.60078023,8,0.013803099,24.63771065,0.80812322,4076,4069,7,0.171736997,99.828263,1.779926669,10.65375,NA
CM.2_T5,C,M,r2,C_M,T5,8.324099723,5,0.011545215,20.69697318,0.838090502,3005,2999,6,0.199667221,99.80033278,1.08134374,11.07,NA
CM.3_T5,C,M,r3,C_M,T5,7.760479042,3,0.011634901,22.66734192,0.726634671,2592,2584,8,0.308641975,99.69135802,0.773058032,11.775,NA
CS.1_T5,C,S,r1,C_S,T5,8.601809955,5,0.009741574,31.53698597,0.847148008,3802,3796,6,0.157811678,99.84218832,2.100355495,13.26,NA
CS.2_T5,C,S,r2,C_S,T5,11.42820513,6,0.014670353,21.68042593,0.787213586,4457,4453,4,0.089746466,99.91025353,1.350280488,8.5275,NA
CS.3_T5,C,S,r3,C_S,T5,10.29787234,7,0.012186831,52.23566473,0.829049088,4356,4338,18,0.41322314,99.58677686,1.581282618,11.53875,NA
SCM.1_T5,CS,M,r1,CS_M,T5,7.236065574,4,0.011881881,44.34646262,0.786938825,2207,2179,28,1.26869053,98.73130947,1.403540491,14.49,NA
SCM.2_T5,CS,M,r2,CS_M,T5,11.92526158,7,0.017852188,29.56363248,0.799948514,3989,3985,4,0.100275758,99.89972424,1.649393191,11.6775,NA
SCM.3_T5,CS,M,r3,CS_M,T5,18.50852713,8,0.028739949,18.53420105,0.560450788,5969,5881,88,1.4742838,98.5257162,2.113549267,16.8525,NA
SCS.1_T5,CS,S,r1,CS_S,T5,12,7,0.017241379,23.65167349,0.794158779,4182,4175,7,0.167384027,99.83261597,1.920411039,14.325,NA
SCS.2_T5,CS,S,r2,CS_S,T5,10.64663805,5,0.015253063,21.68301034,0.782277455,3721,3714,7,0.188121473,99.81187853,0.734002044,6.74625,NA
SCS.3_T5,CS,S,r3,CS_S,T5,9.851963746,5,0.014904635,33.50559704,0.725045474,3261,3246,15,0.459981601,99.5400184,1.352725276,19.18875,NA
SM.1_T5,S,M,r1,S_M,T5,5.9625,2,0.009330986,16.74930923,0.730183259,1908,1779,129,6.761006289,93.23899371,0.57378763,9.525,NA
SM.2_T5,S,M,r2,S_M,T5,5.251748252,2,0.009197458,6.897143352,0.831206929,1502,1453,49,3.262316911,96.73768309,0.869071512,9.2775,NA
SM.3_T5,S,M,r3,S_M,T5,5.099391481,2,0.010364617,5.911054109,0.695535317,1257,1115,142,11.29673827,88.70326173,0.460044388,12.07125,NA
SS.1_T5,S,S,r1,S_S,T5,3.979550102,2,0.008154816,4.918693768,0.878661761,973,890,83,8.530318602,91.4696814,0.36229329,12.2475,NA
SS.2_T5,S,S,r2,S_S,T5,5.828843106,2,0.009252132,19.70448802,0.802032799,1839,1703,136,7.395323545,92.60467645,0.912612979,10.07625,NA
SS.3_T5,S,S,r3,S_S,T5,6.644216691,3,0.009742253,19.70795127,0.844554319,2269,2149,120,5.288673424,94.71132658,0.738406702,12.4425,NA
CM.1_T4,C,M,r1,C_M,T4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM.2_T4,C,M,r2,C_M,T4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM.3_T4,C,M,r3,C_M,T4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS.1_T4,C,S,r1,C_S,T4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS.2_T4,C,S,r2,C_S,T4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS.3_T4,C,S,r3,C_S,T4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCM.1_T4,CS,M,r1,CS_M,T4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCM.2_T4,CS,M,r2,CS_M,T4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCM.3_T4,CS,M,r3,CS_M,T4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCS.1_T4,CS,S,r1,CS_S,T4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCS.2_T4,CS,S,r2,CS_S,T4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCS.3_T4,CS,S,r3,CS_S,T4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SM.1_T4,S,M,r1,S_M,T4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SM.2_T4,S,M,r2,S_M,T4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SM.3_T4,S,M,r3,S_M,T4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SS.1_T4,S,S,r1,S_S,T4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SS.2_T4,S,S,r2,S_S,T4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SS.3_T4,S,S,r3,S_S,T4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM.1_T3,C,M,r1,C_M,T3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM.2_T3,C,M,r2,C_M,T3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM.3_T3,C,M,r3,C_M,T3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS.1_T3,C,S,r1,C_S,T3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS.2_T3,C,S,r2,C_S,T3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS.3_T3,C,S,r3,C_S,T3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCM.1_T3,CS,M,r1,CS_M,T3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCM.2_T3,CS,M,r2,CS_M,T3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCM.3_T3,CS,M,r3,CS_M,T3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCS.1_T3,CS,S,r1,CS_S,T3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCS.2_T3,CS,S,r2,CS_S,T3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCS.3_T3,CS,S,r3,CS_S,T3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SM.1_T3,S,M,r1,S_M,T3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SM.2_T3,S,M,r2,S_M,T3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SM.3_T3,S,M,r3,S_M,T3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SS.1_T3,S,S,r1,S_S,T3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SS.2_T3,S,S,r2,S_S,T3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SS.3_T3,S,S,r3,S_S,T3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM.1_T2,C,M,r1,C_M,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM.2_T2,C,M,r2,C_M,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM.3_T2,C,M,r3,C_M,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS.1_T2,C,S,r1,C_S,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS.2_T2,C,S,r2,C_S,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS.3_T2,C,S,r3,C_S,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCM.1_T2,CS,M,r1,CS_M,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCM.2_T2,CS,M,r2,CS_M,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCM.3_T2,CS,M,r3,CS_M,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCS.1_T2,CS,S,r1,CS_S,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCS.2_T2,CS,S,r2,CS_S,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCS.3_T2,CS,S,r3,CS_S,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SM.1_T2,S,M,r1,S_M,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SM.2_T2,S,M,r2,S_M,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SM.3_T2,S,M,r3,S_M,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SS.1_T2,S,S,r1,S_S,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SS.2_T2,S,S,r2,S_S,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SS.3_T2,S,S,r3,S_S,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
