sequence	16S_rRNA_Count	metadata_NSTI
SV_100_Flavobacteriales	2	0.007845
SV_101_Rhodospirillales	1	0.000101
SV_102_Flavobacteriales	1	0.46902299999999997
SV_103_Alteromonadales	4	0.028698
SV_104_Rickettsiales	1	0.015794
SV_105_Rhodobacterales	1	0.097447
SV_106_Rhodobacterales	1	0.057063
SV_107_Rickettsiales	1	0.236895
SV_108_Oceanospirillales	1	0.206432
SV_109_Flavobacteriales	1	0.043192
SV_10_Rhodobacterales	1	0.00015
SV_110_Oceanospirillales	1	0.112925
SV_111_Micrococcales	1	0.033109
SV_112_Oceanospirillales	2	0.007976
SV_113_Rickettsiales	1	0.048109
SV_114_Oceanospirillales	1	0.023074
SV_115_Rhodobacterales	1	0.049119
SV_116_Rhodobacterales	1	0.061033000000000004
SV_117_Flavobacteriales	1	0.011557
SV_118_Alteromonadales	5	0.024046
SV_119_Oceanospirillales	1	0.015311000000000002
SV_11_Campylobacterales	4	0.080249
SV_120_Rickettsiales	1	0.14738099999999998
SV_121_Rhodobacterales	1	0.021269999999999997
SV_122_Flavobacteriales	1	0.27203299999999997
SV_123_Flavobacteriales	2	0.177648
SV_124_Rhodobacterales	1	0.198196
SV_125_Rhodobacterales	1	0.082946
SV_126_Flavobacteriales	1	0.00015
SV_127_Flavobacteriales	1	0.19356199999999998
SV_128_Flavobacteriales	1	0.166989
SV_129_Flavobacteriales	1	0.053216999999999993
SV_12_Campylobacterales	4	0.107251
SV_130_Oceanospirillales	8	0.024252000000000003
SV_131_Pseudomonadales	1	0.007823
SV_132_Flavobacteriales	1	0.297504
SV_133_Rickettsiales	1	0.20893699999999998
SV_134_Flavobacteriales	1	0.049279
SV_135_Cellvibrionales	3	0.181137
SV_136_Alteromonadales	5	0.040742
SV_137_Flavobacteriales	1	0.29298
SV_138_Sphingobacteriales	1	0.404773
SV_139_Flavobacteriales	1	0.060538
SV_13_Alteromonadales	5	0.0077599999999999995
SV_140_Rickettsiales	1	0.06852000000000001
SV_141_Oceanospirillales	1	0.031689
SV_142_Oceanospirillales	1	0.015288
SV_143_Oceanospirillales	1	0.570704
SV_144_Alteromonadales	1	0.008076999999999999
SV_145_Rhodobacterales	1	0.105528
SV_146_Rhodospirillales	1	0.01672
SV_147_Oceanospirillales	2	0.01594
SV_148_Flavobacteriales	3	0.00015
SV_149_Flavobacteriales	1	0.086411
SV_14_Flavobacteriales	2	0.032479
SV_150_NB1-n	1	0.289127
SV_151_Oceanospirillales	1	0.029842
SV_152_SAR11_clade	1	0.022468000000000002
SV_153_Alteromonadales	2	0.05223
SV_154_Flavobacteriales	2	0.154222
SV_155_Cellvibrionales	1	0.137533
SV_156_Flavobacteriales	1	0.209542
SV_157_Flavobacteriales	1	0.15776700000000002
SV_158_Flavobacteriales	2	0.190807
SV_159_Rhodospirillales	1	0.00015
SV_15_Campylobacterales	4	0.10499100000000001
SV_160_Oceanospirillales	1	0.023027000000000002
SV_161_Caulobacterales	1	0.000101
SV_162_Oceanospirillales	1	0.007566
SV_163_Flavobacteriales	2	0.047335
SV_164_Oceanospirillales	1	0.023017
SV_165_Rhodobacterales	1	0.047277
SV_166_SAR11_clade	1	0.022514
SV_167_Rhodobacterales	1	0.00015
SV_168_Flavobacteriales	2	0.008088
SV_169_Flavobacteriales	1	0.166047
SV_16_Flavobacteriales	1	0.060778
SV_170_Oceanospirillales	1	0.023024
SV_171_Flavobacteriales	1	0.00015
SV_172_SAR11_clade	1	0.021741999999999997
SV_173_Flavobacteriales	1	0.20894000000000001
SV_174_Oceanospirillales	2	0.007774
SV_175_Rhodobacterales	1	0.063514
SV_176_Rhodospirillales	1	0.008190000000000001
SV_177_Rhodobacterales	2	0.000101
SV_178_SAR11_clade	1	0.007663
SV_179_Flavobacteriales	1	0.297754
SV_17_Alteromonadales	5	0.007814
SV_180_Flavobacteriales	1	0.41530200000000006
SV_181_Rhizobiales	1	0.00421
SV_182_SubsectionI	1	0.000101
SV_183_Rickettsiales	1	0.007883
SV_184_Oceanospirillales	2	0.030751999999999998
SV_185_Oceanospirillales	2	0.188385
SV_186_Vibrionales	1	0.008102
SV_187_SAR11_clade	1	0.007654
SV_188_Methylophilales	1	0.039715
SV_189_Oceanospirillales	1	0.015847
SV_18_Flavobacteriales	1	0.406044
SV_190_Rhodobacterales	1	0.023036
SV_191_PeM15	1	0.248732
SV_192_Flavobacteriales	1	0.081073
SV_193_Rhodobacterales	4	0.038651
